Model,Item,Part No.,Alternate Part No.,Part Name (BOM),Part Description (TCLNA),Price,Inventory,New Part No. Inventory,Accessory?,Service,Never,Notes,Mario,Inspect?,Type,Year Sold
TAC-08CPA/HA,1,810700494,,Horizon deflector 2,Horizon deflector 2,$5.58,5,0,,Y,,,,,Portable,2017
TAC-08CPA/HA,2,810700691,,Deflector link,Deflector link,$0.50,5,0,,Y,,,,,Portable,2017
TAC-08CPA/HA,3,810700690,,Support of deflector,Support of deflector,$2.00,5,0,,Y,,,,,Portable,2017
TAC-08CPA/HA,4,810700689,,Horizon deflector link 1,Horizon deflector link 1,$4.00,5,0,,Y,,,,,Portable,2017
TAC-08CPA/HA,5,810700692,,Fixer of motor,Fixer of motor,$-,0,0,,,,,,,Portable,2017
TAC-08CPA/HA,6,1175032001B,,Step motor,Step motor,$21.60,17,0,,Y,,,,,Portable,2017
TAC-08CPA/HA,7,811303723B,,Panel sticker,Panel sticker,$-,0,0,,,,,,,Portable,2017
TAC-08CPA/HA,8,810700488,,Top panel,Top panel,$-,0,0,,,,,,,Portable,2017
TAC-08CPA/HA,9,810900379,,Display board,Display board,$41.80,5,0,,Y,,,,,Portable,2017
TAC-08CPA/HA,10,810800088,,Protect net,Protect net,$3.12,5,0,,Y,,,,,Portable,2017
TAC-08CPA/HA,11,810700492,,Outlet duct,Outlet duct,$-,0,0,,,,,,,Portable,2017
TAC-08CPA/HA,12,8090950003B,,Receiver board,Receiver board,$14.88,5,0,,Y,,,,,Portable,2017
TAC-08CPA/HA,13,810700497,,Handle,Handle,$-,0,0,,,,,,,Portable,2017
TAC-08CPA/HA,14,810700762B,,Front panel,Front panel,$-,0,0,,,,,,,Portable,2017
TAC-08CPA/HA,15,810800072,,Electrical box cover,Electrical box cover,$-,0,0,,,,,,,Portable,2017
TAC-08CPA/HA,16,810800071,,Electrical box,Electrical box,$-,0,0,,,,,,,Portable,2017
TAC-08CPA/HA,17,1170100037,,Fan motor capacitor,Fan motor capacitor,$9.76,5,0,,Y,,,,,Portable,2017
TAC-08CPA/HA,18,1170100044,,Fan motor capacitor,Fan motor capacitor,$5.68,25,0,,Y,,,,,Portable,2017
TAC-08CPA/HA,19,1170100004-R,,Capacitor of compressor,Capacitor of compressor,$11.73,5,0,,Y,,,,,Portable,2017
TAC-08CPA/HA,20,1085110009,,Capacitor clamp,Capacitor clamp,$-,0,0,,,,,,,Portable,2017
TAC-08CPA/HA,21,810900378,,Control circuit board,Control circuit board,$-,0,0,,,,,,,Portable,2017
TAC-08CPA/HA,22,1073030201,,Sensor fixer,Sensor fixer,$-,0,0,,,,,,,Portable,2017
TAC-08CPA/HA,23,1175032007,,Sensor resistance,Sensor resistance,$8.04,10,0,,Y,,,,,Portable,2017
TAC-08CPA/HA,24,810700515,,lead of water,lead of water,$-,0,0,,,,,,,Portable,2017
TAC-08CPA/HA,25,811200746,,Evaporator,Evaporator,$-,0,0,,,,,,,Portable,2017
TAC-08CPA/HA,26,810700397,,Front duct of evaporator,Front duct of evaporator,$-,0,0,,,,,,,Portable,2017
TAC-08CPA/HA,27,810700400,,Centrifugal fan,Centrifugal fan,$-,0,0,,,,,,,Portable,2017
TAC-08CPA/HA,28,810700398,,Rear duct of evaporator,Rear duct of evaporator,$-,0,0,,,,,,,Portable,2017
TAC-08CPA/HA,29,810900023B,,Fan motor,Fan motor,$-,0,0,,,,,,,Portable,2017
TAC-08CPA/HA,30,1075100022,,Clamp,Clamp,$-,0,0,,,,,,,Portable,2017
TAC-08CPA/HA,31,810700410,,Middle metal panel,Middle metal panel,$-,0,0,,,,,,,Portable,2017
TAC-08CPA/HA,32,810800093,,Support,Support,$-,0,0,,,,,,,Portable,2017
TAC-08CPA/HA,33,810900137,,Fan motor,Fan motor,$47.46,5,0,,Y,,,,,Portable,2017
TAC-08CPA/HA,34,810700417,,Rear duct of condenser,Rear duct of condenser,$-,0,0,,,,,,,Portable,2017
TAC-08CPA/HA,35,1175110002,,Centrifugal fan,Centrifugal fan,$33.60,2,0,,Y,,,,,Portable,2017
TAC-08CPA/HA,36,810700416,,Front duct of condenser,Front duct of condenser,$-,0,0,,,,,,,Portable,2017
TAC-08CPA/HA,37,810700418,,Condenser seal,Condenser seal,$-,0,0,,,,,,,Portable,2017
TAC-08CPA/HA,38,811200747,,Condenser,Condenser,$-,0,0,,,,,,,Portable,2017
TAC-08CPA/HA,39,810800073,,Condensor protector,Condensor protector,$-,0,0,,,,,,,Portable,2017
TAC-08CPA/HA,40,810700026C,,Float fix panel,Float fix panel,$-,0,0,,,,,,,Portable,2017
TAC-08CPA/HA,41,810900031,,Float switch,Float switch,$-,0,0,,,,,,,Portable,2017
TAC-08CPA/HA,42,1075090029,,Splash motor left cover,Splash motor left cover,$-,0,0,,,,,,,Portable,2017
TAC-08CPA/HA,43,8170070001B,,Splash motor,Splash motor,$-,0,0,,,,,,,Portable,2017
TAC-08CPA/HA,44,1075090017,,Splash moter right cover,Splash moter right cover,$-,0,0,,,,,,,Portable,2017
TAC-08CPA/HA,45,8070032005,,Castor,Castor,$3.24,40,0,Y,,,,,,Portable,2017
TAC-08CPA/HA,46,814100485,,Base,Base,$-,0,0,,,,,,,Portable,2017
TAC-08CPA/HA,47,810700027,,Stopper,Stopper,$1.54,10,0,Y,,,,,,Portable,2017
TAC-08CPA/HA,48,1075110023,,Splash disk,Splash disk,$-,0,0,,,,,,,Portable,2017
TAC-08CPA/HA,49,811200726,,Capillary,Capillary,$-,0,0,,,,,,,Portable,2017
TAC-08CPA/HA,50,811200742,,Compressor,Compressor,$-,0,0,,,,,,,Portable,2017
TAC-08CPA/HA,51,811200743,,Discharge pipe,Discharge pipe,$-,0,0,,,,,,,Portable,2017
TAC-08CPA/HA,52,811200744,,Suction pipe,Suction pipe,$-,0,0,,,,,,,Portable,2017
TAC-08CPA/HA,53,810700491,,Filter of evaporator,Filter of evaporator,$5.36,28,0,Y,,,,,,Portable,2017
TAC-08CPA/HA,54,810700490,,Grill of evaporator,Grill of evaporator,$-,0,0,,,,,,,Portable,2017
TAC-08CPA/HA,55,810700489,,Back panel,Back panel,$-,0,0,,,,,,,Portable,2017
TAC-08CPA/HA,56,214106113A,,Cover of drainage hose,Cover of drainage hose,$0.40,10,0,Y,,,,,,Portable,2017
TAC-08CPA/HA,57,210703297,,Seal,Seal,$2.00,18,0,Y,,,,,,Portable,2017
TAC-08CPA/HA,58,210703134,,Fixer of drainage cover,Fixer of drainage cover,$2.75,5,0,,Y,,,,,Portable,2017
TAC-08CPA/HA,59,8120120025A,,Hose pipe,Exhaust Hose,$12.30,69,0,Y,,,,,,Portable,2017
TAC-08CPA/HA,60,810700396,,Hose inlet,Hose inlet,$4.26,18,0,Y,,,,,,Portable,2017
TAC-08CPA/HA,61,810700693,,Window slider,Window slider,$14.54,199,0,Y,,,,,,Portable,2017
TAC-08CPA/HA,62,810700345A,,Hose outlet,Hose outlet,$4.75,27,0,Y,,,,,,Portable,2017
TAC-08CPA/HA,63,810800108,,Protect net of window slider,Protect net of window slider,$2.54,20,0,Y,,,,,,Portable,2017
TAC-08CPA/HA,64,810900417B,,Remote controller,Remote controller,$12.87,24,0,Y,,,,,,Portable,2017
TAC-08CPA/HA,65,810900443,,Power cord,Power cord,$-,0,0,,,,,,,Portable,2017
TAC-10CPA/HA,19,810900275,,Capacitor of compressor,Capacitor of compressor,$-,0,0,,,,,,,Portable,2017
TAC-10CPA/HA,20,1085110009,,Capacitor clamp,Capacitor clamp,$-,0,0,,,,,,,Portable,2017
TAC-10CPA/HA,21,810900378,,Control circuit board,Control circuit board,$-,0,0,,,,,,,Portable,2017
TAC-10CPA/HA,22,1073030201,,Sensor fixer,Sensor fixer,$-,0,0,,,,,,,Portable,2017
TAC-10CPA/HA,23,1175032007,,Sensor resistance,Sensor resistance,$8.04,10,0,,Y,,,,,Portable,2017
TAC-10CPA/HA,24,810700515,,lead of water,lead of water,$-,0,0,,,,,,,Portable,2017
TAC-10CPA/HA,25,811200633,,Evaporator,Evaporator,$-,0,0,,,,,,,Portable,2017
TAC-10CPA/HA,26,810700397,,Front duct of evaporator,Front duct of evaporator,$-,0,0,,,,,,,Portable,2017
TAC-10CPA/HA,27,810700400,,Centrifugal fan,Centrifugal fan,$-,0,0,,,,,,,Portable,2017
TAC-10CPA/HA,28,810700398,,Rear duct of evaporator,Rear duct of evaporator,$-,0,0,,,,,,,Portable,2017
TAC-10CPA/HA,29,810900023B,,Fan motor,Fan motor,$-,0,0,,,,,,,Portable,2017
TAC-10CPA/HA,30,1075100022,,Clamp,Clamp,$-,0,0,,,,,,,Portable,2017
TAC-10CPA/HA,31,810700410,,Middle metal panel,Middle metal panel,$-,0,0,,,,,,,Portable,2017
TAC-10CPA/HA,32,810800093,,Support,Support,$-,0,0,,,,,,,Portable,2017
TAC-10CPA/HA,33,810900137,,Fan motor,Fan motor,$47.46,5,0,,Y,,,,,Portable,2017
TAC-10CPA/HA,34,810700417,,Rear duct of condenser,Rear duct of condenser,$-,0,0,,,,,,,Portable,2017
TAC-10CPA/HA,35,1175110002,,Centrifugal fan,Centrifugal fan,$33.60,2,0,,Y,,,,,Portable,2017
TAC-10CPA/HA,36,810700416,,Front duct of condenser,Front duct of condenser,$-,0,0,,,,,,,Portable,2017
TAC-10CPA/HA,37,810700418,,Condenser seal,Condenser seal,$-,0,0,,,,,,,Portable,2017
TAC-10CPA/HA,38,811200634,,Condenser,Condenser,$-,0,0,,,,,,,Portable,2017
TAC-10CPA/HA,39,810800073,,Condensor protector,Condensor protector,$-,0,0,,,,,,,Portable,2017
TAC-10CPA/HA,40,810700026C,,Float fix panel,Float fix panel,$-,0,0,,,,,,,Portable,2017
TAC-10CPA/HA,41,810900031,,Float switch,Float switch,$-,0,0,,,,,,,Portable,2017
TAC-10CPA/HA,42,1075090029,,Splash motor left cover,Splash motor left cover,$-,0,0,,,,,,,Portable,2017
TAC-10CPA/HA,43,8170070001B,,Splash motor,Splash motor,$-,0,0,,,,,,,Portable,2017
TAC-10CPA/HA,44,1075090017,,Splash moter right cover,Splash moter right cover,$-,0,0,,,,,,,Portable,2017
TAC-10CPA/HA,45,8070032005,,Castor,Castor,$3.24,40,0,Y,,,,,,Portable,2017
TAC-10CPA/HA,46,814100485,,Base,Base,$-,0,0,,,,,,,Portable,2017
TAC-10CPA/HA,47,810700027,,Stopper,Stopper,$1.54,10,0,Y,,,,,,Portable,2017
TAC-10CPA/HA,48,1075110023,,Splash disk,Splash disk,$-,0,0,,,,,,,Portable,2017
TAC-10CPA/HA,49,811200627,,Capillary,Capillary,$-,0,0,,,,,,,Portable,2017
TAC-10CPA/HA,50,811200626,,Compressor,Compressor,$-,0,0,,,,,,,Portable,2017
TAC-10CPA/HA,51,811200632,,Discharge pipe,Discharge pipe,$-,0,0,,,,,,,Portable,2017
TAC-10CPA/HA,52,811200987,,Suction pipe,Suction pipe,$-,0,0,,,,,,,Portable,2017
TAC-10CPA/HA,53,810700491,,Filter of evaporator,Filter of evaporator,$5.36,28,0,Y,,,,,,Portable,2017
TAC-10CPA/HA,54,810700490,,Grill of evaporator,Grill of evaporator,$-,0,0,,,,,,,Portable,2017
TAC-10CPA/HA,55,810700489,,Back panel,Back panel,$-,0,0,,,,,,,Portable,2017
TAC-10CPA/HA,56,214106113A,,Cover of drainage hose,Cover of drainage hose,$0.40,10,0,Y,,,,,,Portable,2017
TAC-10CPA/HA,57,210703297,,Seal,Seal,$2.00,18,0,Y,,,,,,Portable,2017
TAC-10CPA/HA,58,210703134,,Fixer of drainage cover,Fixer of drainage cover,$2.75,5,0,,Y,,,,,Portable,2017
TAC-10CPA/HA,59,8120120025A,,Hose pipe,Exhaust Hose,$12.30,69,0,Y,,,,,,Portable,2017
TAC-10CPA/HA,60,810700396,,Hose inlet,Hose inlet,$4.26,18,0,Y,,,,,,Portable,2017
TAC-10CPA/HA,61,810700693,,Window slider,Window slider,$14.54,199,0,Y,,,,,,Portable,2017
TAC-10CPA/HA,62,810700345A,,Hose outlet,Hose outlet,$4.75,27,0,Y,,,,,,Portable,2017
TAC-10CPA/HA,63,810800108,,Protect net of window sli,Protect net of window sli,$2.54,20,0,Y,,,,,,Portable,2017
TAC-10CPA/HA,64,810900417B,,Remote controller,Remote controller,$12.87,24,0,Y,,,,,,Portable,2017
TAC-10CPA/HA,65,810900443,,Power cord,Power cord,$-,0,0,,,,,,,Portable,2017
TAC-12CPA/HA,,210703134,,Drain Cap Tether,Drain Cap Tether,$2.75,5,0,Y,,,,,,Portable,2017
TAC-12CPA/HA,,210703297,41214-001058,Gasket of Cap,Gasket of Cap,$2.00,18,0,Y,,,,,,Portable,2017
TAC-12CPA/HA,,810700027,,Lower drain plug,Lower drain plug,$1.54,10,0,Y,,,,,,Portable,2017
TAC-12CPA/HA,,810700360,,Sponge of window slider 2,Sponge of window slider 2,$-,0,0,,,,,,,Portable,2017
TAC-12CPA/HA,,810700397,,Front duct of evaporator,Front duct of evaporator,$-,0,0,,,,,,,Portable,2017
TAC-12CPA/HA,,810700398,,Rear duct of evaporator,Rear duct of evaporator,$-,0,0,,,,,,,Portable,2017
TAC-12CPA/HA,,810700400,,Centrifugal fan,Centrifugal fan,$-,0,0,,,,,,,Portable,2017
TAC-12CPA/HA,,810700410,,Middle metal panel,Middle metal panel,$-,0,0,,,,,,,Portable,2017
TAC-12CPA/HA,,810700416,,Front duct of condenser,Front duct of condenser,$-,0,0,,,,,,,Portable,2017
TAC-12CPA/HA,,810700417,,Rear duct of condenser,Rear duct of condenser,$-,0,0,,,,,,,Portable,2017
TAC-12CPA/HA,,810700418,,Condenser seal,Condenser seal,$-,0,0,,,,,,,Portable,2017
TAC-12CPA/HA,,810700488,,Top panel,Top panel,$-,0,0,,,,,,,Portable,2017
TAC-12CPA/HA,,810700489,,Back panel,Back panel,$-,0,0,,,,"6.5"" * 48"" Fits 5"" Circle outlet",,,Portable,2017
TAC-12CPA/HA,,810700490,,Grill of evaporator,Grill of evaporator,$-,0,0,,,,"Fits 5"" Hose",,,Portable,2017
TAC-12CPA/HA,,810700491,,Filter,Filter,$5.36,28,0,Y,,,,,,Portable,2017
TAC-12CPA/HA,,810700492,,Outlet duct,Outlet duct,$-,0,0,,,,,,,Portable,2017
TAC-12CPA/HA,,810700494,,Horizon deflector 2,Horizon deflector 2,$5.58,5,0,,Y,,,,,Portable,2017
TAC-12CPA/HA,,810700497,,Handle,Handle,$-,0,0,,,,,,,Portable,2017
TAC-12CPA/HA,,810700515,,lead of water,lead of water,$-,0,0,,,,,,,Portable,2017
TAC-12CPA/HA,,810700689,,Horizon deflector link 1,Horizon deflector link 1,$4.00,5,0,,Y,,,,,Portable,2017
TAC-12CPA/HA,,810700690,,Support of deflector,Support of deflector,$2.00,5,0,,Y,,,,,Portable,2017
TAC-12CPA/HA,,810700691,,Deflector link,Deflector link,$0.50,5,0,,Y,,,,,Portable,2017
TAC-12CPA/HA,,810700692,,Fixer of motor,Fixer of motor,$-,0,0,,,,,,,Portable,2017
TAC-12CPA/HA,,810700693,,"Window slider, Circle 5""","Window slider, Circle 5""",$14.54,199,0,Y,,,<1812,,,Portable,2017
TAC-12CPA/HA,,810700789,,Sponge of window slider 1,Sponge of window slider 1,$-,0,0,,,,,,,Portable,2017
TAC-12CPA/HA,,810701089,,Hose inlet,Hose inlet,$3.60,30,0,Y,,,,,,Portable,2017
TAC-12CPA/HA,,810701112,,Window Sponge,Window Gasket,$1.00,201,0,Y,,,,,,Portable,2017
TAC-12CPA/HA,,810701160,,Castor subassembly,"caster, set of four",$3.92,108,0,Y,,,,,,Portable,2017
TAC-12CPA/HA,,810800071,,Electrical box,Electrical box,$-,0,0,,,,,,,Portable,2017
TAC-12CPA/HA,,810800072,,Electrical box cover,Electrical box cover,$-,0,0,,,,,,,Portable,2017
TAC-12CPA/HA,,810800073,,Condensor protector,Condensor protector,$-,0,0,,,,,,,Portable,2017
TAC-12CPA/HA,,810800088,,Protect net,Protect net,$3.12,5,0,,Y,,,,,Portable,2017
TAC-12CPA/HA,,810800093,,Support,Support,$-,0,0,,,,,,,Portable,2017
TAC-12CPA/HA,,810800107,,Fixer of window slider,Fixer of window slider,$-,0,0,,,,,,,Portable,2017
TAC-12CPA/HA,,810800108,,Protect net of window slider,Protect net of window slider,$2.54,20,0,Y,,,,,,Portable,2017
TAC-12CPA/HA,,810900031,,Float switch,Float switch,$-,0,0,,,,,,,Portable,2017
TAC-12CPA/HA,,810900137,,Fan motor,Fan motor,$47.46,5,0,,Y,,,,,Portable,2017
TAC-12CPA/HA,,810900275,,Capacitor of compressor,Capacitor of compressor,$-,0,0,,,,,,,Portable,2017
TAC-12CPA/HA,,810900378,,Control circuit board,Control circuit board,$-,0,0,,,,,,,Portable,2017
TAC-12CPA/HA,,810900379,,Display board,Display board,$41.80,5,0,,Y,,,,,Portable,2017
TAC-12CPA/HA,,810900443,,Power cord,Power cord,$-,0,0,,,,,,,Portable,2017
TAC-12CPA/HA,,811200626,,Compressor,Compressor,$-,0,0,,,,,,,Portable,2017
TAC-12CPA/HA,,811200627,,Capillary,Capillary,$-,0,0,,,,,,,Portable,2017
TAC-12CPA/HA,,811200632,,Discharge pipe,Discharge pipe,$-,0,0,,,,,,,Portable,2017
TAC-12CPA/HA,,811200633,,Evaporator,Evaporator,$-,0,0,,,,,,,Portable,2017
TAC-12CPA/HA,,811200634,,Condenser,Condenser,$-,0,0,,,,,,,Portable,2017
TAC-12CPA/HA,,811200987,,Suction pipe,Suction pipe,$-,0,0,,,,,,,Portable,2017
TAC-12CPA/HA,,811303356,,Upper foam,Upper foam,$-,0,0,,,,,,,Portable,2017
TAC-12CPA/HA,,811303357,,Bottom foam,Bottom foam,$-,0,0,,,,,,,Portable,2017
TAC-12CPA/HA,,811303412,,Top pad,Top pad,$-,0,0,,,,,,,Portable,2017
TAC-12CPA/HA,,811303413,,Front supporter of carton,Front supporter of carton,$-,0,0,,,,,,,Portable,2017
TAC-12CPA/HA,,811303414,,Rear supporter of carton,Rear supporter of carton,$-,0,0,,,,,,,Portable,2017
TAC-12CPA/HA,,811303415,,Pad of lower foam,Pad of lower foam,$-,0,0,,,,,,,Portable,2017
TAC-12CPA/HA,,814100485,,Base,Base,$-,0,0,,,,,,,Portable,2017
TAC-12CPA/HA,,1073030201,,Sensor fixer,Sensor fixer,$-,0,0,,,,,,,Portable,2017
TAC-12CPA/HA,,1075090017,,Splash moter right cover,Splash moter right cover,$-,0,0,,,,,,,Portable,2017
TAC-12CPA/HA,,1075090029,,Splash motor left cover,Splash motor left cover,$-,0,0,,,,,,,Portable,2017
TAC-12CPA/HA,,1075100021,,Caster Lock,Caster Lock,$2.00,18,0,Y,,,,,,Portable,2017
TAC-12CPA/HA,,1075100022,,Clamp,Clamp,$-,0,0,,,,,,,Portable,2017
TAC-12CPA/HA,,1075110023,,Splash disk,Splash disk,$-,0,0,,,,,,,Portable,2017
TAC-12CPA/HA,,1085110009,,Capacitor clamp,Capacitor clamp,$-,0,0,,,,,,,Portable,2017
TAC-12CPA/HA,,1170100037,,Fan motor capacitor,Fan motor capacitor,$9.76,5,0,,Y,,,,,Portable,2017
TAC-12CPA/HA,,1170100044,,Fan motor capacitor,Fan motor capacitor,$5.68,25,0,,Y,,,,,Portable,2017
TAC-12CPA/HA,,1175032007,,Sensor resistance,Sensor resistance,$8.04,10,0,,Y,,,,,Portable,2017
TAC-12CPA/HA,,1175110002,,Centrifugal fan,Centrifugal fan,$33.60,2,0,,Y,,,,,Portable,2017
TAC-12CPA/HA,,1180010112,,Bolt,Bolt,$-,0,0,,,,,,,Portable,2017
TAC-12CPA/HA,,1075032001A,,Exhaust Hose,Exhaust Hose,$15.02,34,0,Y,,,,,,Portable,2017
TAC-12CPA/HA,,1175032001B,,Step motor,Step motor,$21.60,17,0,,Y,,,,,Portable,2017
TAC-12CPA/HA,,8090950003B,,Receiver board,Receiver board,$14.88,5,0,,Y,,,,,Portable,2017
TAC-12CPA/HA,,810700026C,,Float fix panel,Float fix panel,$-,0,0,,,,,,,Portable,2017
TAC-12CPA/HA,,810700762B,,Front panel,Front panel,$-,0,0,,,,,,,Portable,2017
TAC-12CPA/HA,,810701052B,,Drain Hose Cap,Drain Hose Cap,$0.85,10,0,Y,,,,,,Portable,2017
TAC-12CPA/HA,,810900023B,,Fan motor,Fan motor,$-,0,0,,,,,,,Portable,2017
TAC-12CPA/HA,,810900417B,,Remote controller,Remote controller,$12.87,24,0,Y,,,,,,Portable,2017
TAC-12CPA/HA,,811303723B,,Panel sticker,Panel sticker,$-,0,0,,,,,,,Portable,2017
TAC-12CPA/HA,,8170070001B,,Splash motor,Splash motor,$-,0,0,,,,,,,Portable,2017
TAW15CRE19,1,210739750,,Front Panel Assembly,Front Panel Assembly,$50.08,5,0,,Y,,,,,Window,2019
TAW15CRE19,1.1,210738630,,Intake grille,Intake grille,$-,0,0,,,,,,,Window,2019
TAW15CRE19,1.2,210736614,,swing rod,swing rod,$-,0,0,,,,,,,Window,2019
TAW15CRE19,1.3,210736557,,Leading Flow Circle,Leading Flow Circle,$-,0,0,,,,,,,Window,2019
TAW15CRE19,1.4,210736555,42008-000062,Air Filter,Air Filter,$7.50,50,0,Y,,,,,,Window,2019
TAW15CRE19,1.5,210736551,,Front Panel,Front Panel,$-,0,0,,,,,,,Window,2019
TAW15CRE19,1.6,210736554,,Louver Connecter,Louver Connecter,$-,0,0,,,,,,,Window,2019
TAW15CRE19,1.7,210736553,,Louver,Louver,$-,0,0,,,,,,,Window,2019
TAW15CRE19,2,210736556,,Front Vortex Shell,Front Vortex Shell,$-,0,0,,,,,,,Window,2019
TAW15CRE19,3,210826634,,Electrical Box Cover supporter,Electrical Box Cover supporter,$-,0,0,,,,,,,Window,2019
TAW15CRE19,4,210736558,,Water drainage pan,Water drainage pan,$-,0,0,,,,,,,Window,2019
TAW15CRE19,5,210826633,,Top plate,Top plate,$-,0,0,,,,,,,Window,2019
TAW15CRE19,6,210736562,,Back Vortex Shell,Back Vortex Shell,$-,0,0,,,,,,,Window,2019
TAW15CRE19,7,210826715,,Partition plate Assembly,Partition plate Assembly,$-,0,0,,,,,,,Window,2019
TAW15CRE19,8,210736566,,Filler Panels Left Rail,Filler Panels Left Rail,$5.16,10,0,Y,,,,,,Window,2019
TAW15CRE19,9,210736743,,Filler Panels,Filler Panels,$6.24,40,0,Y,,,,,,Window,2019
TAW15CRE19,10,210826835,,Top mounting Rail,Top mounting Rail,$8.70,50,0,Y,,,,,,Window,2019
TAW15CRE19,11,210736744,,Filler Panels plug,Filler Panels plug,$2.00,30,0,Y,,,,,,Window,2019
TAW15CRE19,12,210736567,,Filler Panels Right Rail,Filler Panels Right Rail,$4.68,20,0,Y,,,,,,Window,2019
TAW15CRE19,13,210826802,,Cabinet,Cabinet,$-,0,0,,,,,,,Window,2019
TAW15CRE19,14,211234235,,Condenser,Condenser,$-,0,0,,,,,,,Window,2019
TAW15CRE19,15,211234264,,cold tube,cold tube,$-,0,0,,,,,,,Window,2019
TAW15CRE19,16,210736731,,Propeller Fan,Propeller Fan,$-,0,0,,,,,,,Window,2019
TAW15CRE19,17,210736748,,Back Surround Plate Assembly,Back Surround Plate Assembly,$-,0,0,,,,,,,Window,2019
TAW15CRE19,18,210736656,,Back Surround Cover Plate,Back Surround Cover Plate,$-,0,0,,,,,,,Window,2019
TAW15CRE19,19,210901458,,Fan Motor,Fan Motor,$78.36,4,0,,Y,,,,,Window,2019
TAW15CRE19,20,210736741,,Centrifugal Fan,Centrifugal Fan,$-,0,0,,,,,,,Window,2019
TAW15CRE19,21,210736569,,Pipe Cover (four-way),Pipe Cover (four-way),$-,0,0,,,,,,,Window,2019
TAW15CRE19,22,210736570,,Pipe Cover (two-way),Pipe Cover (two-way),$-,0,0,,,,,,,Window,2019
TAW15CRE19,23,210826712,,Base,Base,$-,0,0,,,,,,,Window,2019
TAW15CRE19,24,211234252,,Compressor,Compressor,$-,0,0,,,,,,,Window,2019
TAW15CRE19,25,211234247,,Evaporator,Evaporator,$-,0,0,,,,,,,Window,2019
TAW15CRE19,26,211234272,,Capillary Assembly,Capillary Assembly,$-,0,0,,,,,,,Window,2019
TAW15CRE19,27,211234269,,Discharge Pipe,Discharge Pipe,$-,0,0,,,,,,,Window,2019
TAW15CRE19,28,214146728,,Electrical Assembly,Electrical Assembly,$-,0,0,,,,,,,Window,2019
TAW15CRE19,28.1,210826731,,Electrical Box,Electrical Box,$-,0,0,,,,,,,Window,2019
TAW15CRE19,28.2,210736568,,Main pcb supporter,Main pcb supporter,$-,0,0,,,,,,,Window,2019
TAW15CRE19,28.3,210901411C,,Main pcb,Main pcb,$37.48,15,0,,Y,,,,,Window,2019
TAW15CRE19,28.4,210901423,,Capacitor,Capacitor,$13.50,5,0,,Y,,,,,Window,2019
TAW15CRE19,28.5,210901465A,,Transformer,Transformer,$5.10,25,0,,Y,,,,,Window,2019
TAW15CRE19,28.6,210826496,,Capacitor Strip,Capacitor Strip,$-,0,0,,,,,,,Window,2019
TAW15CRE19,28.7,210736561,,Control Box panel,Control Box panel,$-,0,0,,,,,,,Window,2019
TAW15CRE19,28.8,210901461,,Display PCB,Display PCB,$18.05,35,0,,Y,,,,,Window,2019
TAW15CRE19,29,210901457C,,Remote Controller,Remote Controller,$7.96,1002,0,Y,,,,,,Window,2019
TAW15CRE19,30,210901453A,22007-000069,Power Supply Cord,Power Supply Cord,$38.04,27,0,,Y,,,,,Window,2019
TAW15CRE19,31,214146703,,Installation accessories,Installation accessories,$-,0,0,,,,,,,Window,2019
TAW15CRE19,31.1,214148430,,Screw assembly,Screw assembly,$4.00,38,0,Y,,,,,,Window,2019
TAW15CRE19,31.2,210736744,,Filler Panels plug,Filler Panels plug,$2.00,30,0,Y,,,,,,Window,2019
TAW15CRE19,31.3,210826659,,Support Bracket(Left),Support Bracket(Left),$13.68,9,0,Y,,,,,,Window,2019
TAW15CRE19,31.4,210826660,,Support Bracket(Right),Support Bracket(Right),$13.68,9,0,Y,,,,,,Window,2019
TAW15CRE19,31.5,210737020,,Window Sash seal,Window Sash seal,$3.00,23,0,Y,,,,,,Window,2019
TAW15CRE19,31.6,210737051,,Foam Top window Gasket,Foam Top window Gasket,$2.00,23,0,Y,,,,,,Window,2019
TAW15CRE19,31.7,210737551,,Insulation strip sponge,Insulation strip sponge,$6.40,69,0,Y,,,,,,Window,2019
TAW15CRE19,31.8,1190080025AK,,Instructions bag,Instructions bag,$-,0,0,,,,,,,Window,2019
TAW15CRE19,31.9,211353823,,Support Bracket bag,Support Bracket bag,$-,0,0,,,,,,,Window,2019
TAW15CRE19,33,211351686,,Base Carton,Base Carton,$-,0,0,,,,,,,Window,2019
TAW15CRE19,34,211349460,,Base Foaming,Base Foaming,$-,0,0,,,,,,,Window,2019
TAW15CRE19,35,211349459,,Top cover,Top cover,$-,0,0,,,,,,,Window,2019
TAW15CRE19,36,210901539,,Sensor Assembly,Sensor Assembly,$6.96,40,0,,Y,,,,,Window,2019
TAW15CRE19,48153,1193070510,A2004-000143,screw bag,screw bag,$4.00,195,0,,Y,,,,,Window,2019
TAW15CRE19,48154,210826603,,Sash lock,Sash lock,$2.00,70,0,Y,,,,,,Window,2019
TAW15CRE19,48155,210826661,,Sill Angel Bracket,Sill Angel Bracket,$3.28,20,0,Y,,,,,,Window,2019
TAW15CRE19,48156,211800127,,"5/8"" Flat Head Bolt","5/8"" Flat Head Bolt",$0.40,10,0,Y,,,,,,Window,2019
TAW15CRE19,48157,1180200010,,"5/8"" Locknut","5/8"" Locknut",$0.25,10,0,Y,,,,,,Window,2019
TAW15CRE19,48158,211800128,,Gasket,Gasket,$0.50,20,0,Y,,,,,,Window,2019
